English Field,French Field,English Plainlanguage,French Plainlanguage,English Description,French Description,Display by default
Database/Dataset/System Name (English),Nom de la base de données/du dataset/du système (français),Dataset,Dataset,"The official English name of the database, dataset, or system.","Le nom officiel en anglais de la base de données, du jeu de données ou du système.",1
Acronym (English),Acronyme (français),Acronym,Acronyme,"The commonly used English acronym for the database, dataset, or system.","L'acronyme anglais couramment utilisé pour la base de données, le jeu de données ou le système.",1
Description (English),Description (français),Description,Description,"A detailed description of the content, purpose, and scope of the database, dataset, or system.","Une description détaillée du contenu, de l'objectif et de la portée de la base de données, du jeu de données ou du système.",1
Keywords,Mots clés,Keywords,Mots clés,Relevant keywords that help in searching and categorizing the dataset.,Mots-clés pertinents qui aident à la recherche et à la catégorisation du jeu de données.,1
Objective(s) (English),Objectif(s) (français),Objectives,Objectifs,The main goals or purposes for collecting and using the dataset.,Les principaux objectifs ou finalités de la collecte et de l'utilisation du jeu de données.,0
Geographical Coverage,Couverture géographique,Coverage,Couverture,The geographic area or regions covered by the dataset.,La zone géographique ou les régions couvertes par le jeu de données.,0
Data Quality Checks or Assessments,Contrôles ou évaluations de la qualité des données,Quality checks,Vérifications de la qualité,"Information about data quality checks, validations, or assessments performed on the dataset.","Informations sur les vérifications de la qualité des données, les validations ou les évaluations effectuées sur le jeu de données.",0
Frequency of Data Collection,Fréquence de la collecte des données,Frequency,Fréquence,How often the data is collected or updated.,La fréquence à laquelle les données sont collectées ou mises à jour.,0
Data sources,Sources de données,Sources,Sources,The original sources from which the data is obtained.,Les sources originales à partir desquelles les données sont obtenues.,0
Open government status,Statut de gouvernement ouvert,Open status,Statut ouvert,Indicates whether the dataset is available under Open Government policies.,Indique si le jeu de données est disponible selon les politiques de gouvernement ouvert.,0
Programming Language,Langage de programmation,Programming language,Langage de programmation,The programming languages used in processing or analyzing the dataset.,Les langages de programmation utilisés pour traiter ou analyser le jeu de données.,0
Years/Cycle Available,Années/Cycle disponibles,Years available,Années disponibles,The years or cycles for which the dataset is available.,Les années ou cycles pour lesquels le jeu de données est disponible.,0
Access Requirement,Exigence d'accès,Access,Accès,The requirements needed to access the dataset.,Les conditions nécessaires pour accéder au jeu de données.,0
Data is Accessible to ,Les données sont accessibles à,Accessible to,Accessible à,The groups or individuals who have access to the dataset.,Les groupes ou individus qui ont accès au jeu de données.,0
Intended Audience of Data Knowledge Translation Products and Publications,Publics visés par les produits et publications d'application des connaissances sur les données,Audience,Public cible,The target audience for products and publications derived from the dataset.,Le public cible pour les produits et publications dérivés du jeu de données.,0
When was the Open Government Portal last updated?,Quand le portail du gouvernement ouvert a-t-il été mis à jour pour la dernière fois ?,Last updated,Dernière mise à jour,The date when the dataset was last updated on the Open Government Portal.,La date de la dernière mise à jour du jeu de données sur le portail du gouvernement ouvert.,0
